date,air_temperature_C,shaw_coupled_soil_ice_mm,official_outlet_m3s,official_soil_layer2_C,official_surq_gen_mm,official_latq_mm,official_perc_mm,official_et_mm,official_snopack_mm,official_sw_final_mm,existing_ft_outlet_m3s,existing_ft_soil_layer2_C,existing_ft_surq_gen_mm,existing_ft_latq_mm,existing_ft_perc_mm,existing_ft_et_mm,existing_ft_snopack_mm,existing_ft_sw_final_mm,shaw_outlet_m3s,shaw_soil_layer2_C,shaw_surq_gen_mm,shaw_latq_mm,shaw_perc_mm,shaw_et_mm,shaw_snopack_mm,shaw_sw_final_mm
2021-01-01,-4.55,97.70823328628909,8.529e-07,-4.018,0.0,0.008,0.04,0.144,3.042,275.582,8.426e-07,-1.471,0.0,0.021,0.041,0.143,3.042,255.237,0.01859,-1.509,0.0,0.0,0.093,0.665,6.99,65.302
2021-01-02,-3.6,95.81493381479319,4.441e-05,-3.936,0.0,0.008,0.04,0.0,13.18,275.534,4.444e-05,-0.007,0.0,0.024,0.05,0.0,13.18,252.476,0.01791,-1.222,0.0,0.0,0.092,-0.083,17.077,66.137
2021-01-03,-3.9,93.395529128785,1.615e-06,-3.866,0.0,0.008,0.04,0.0,23.518,275.486,1.676e-06,-0.011,0.0,0.026,0.05,0.0,23.518,252.56,0.01718,-1.025,0.0,0.0,0.092,-0.08,27.396,68.279
2021-01-04,-2.35,90.86828223744152,7.136e-07,-3.642,0.0,0.008,0.04,0.0,24.018,275.438,7.936e-07,0.22,0.0,0.029,0.051,0.0,24.018,252.631,0.01653,-0.881,0.0,0.0,0.091,-0.113,28.053,70.618
2021-01-05,-4.0,88.69865093715478,7.314e-06,-3.572,0.0,0.008,0.04,0.0,25.818,275.391,7.407e-06,0.05,0.0,0.031,0.052,0.0,25.818,253.135,0.01591,-0.815,0.0,0.0,0.091,-0.07,29.975,72.591
2021-01-06,-6.45,86.91510290922137,1.139e-06,-3.806,0.0,0.008,0.04,0.0,27.718,275.343,1.239e-06,-0.263,0.0,0.032,0.051,0.0,27.718,253.21,0.01531,-0.802,0.0,0.0,0.09,0.002,31.969,74.168
2021-01-07,-6.65,85.17151854760465,1.356e-06,-4.074,0.0,0.008,0.04,0.045,28.268,275.292,1.461e-06,-0.286,0.0,0.033,0.051,0.045,28.268,252.664,0.01474,-0.786,0.0,0.0,0.089,0.297,32.609,75.706
2021-01-08,-9.3,83.97467289719856,3.28e-08,-4.504,0.0,0.008,0.04,0.462,28.568,274.868,1.396e-07,-0.586,0.0,0.033,0.051,0.458,28.568,251.713,0.0142,-0.833,0.0,0.0,0.088,0.291,32.927,76.677
2021-01-09,-7.85,82.52725295015921,1.575e-06,-4.835,0.0,0.008,0.039,0.0,28.854,274.821,1.683e-06,-0.4,0.0,0.033,0.051,0.0,28.854,250.664,0.01369,-0.832,0.0,0.0,0.09,-0.071,33.293,77.911
2021-01-10,-7.8,81.21067009802333,3.17e-08,-5.011,0.0,0.008,0.039,0.233,29.14,274.668,1.407e-07,-0.377,0.0,0.034,0.051,0.231,29.14,249.806,0.01321,-0.849,0.0,0.0,0.096,0.125,33.71,79.005
2021-01-11,-5.65,79.35132561486593,3.99e-06,-5.086,0.0,0.006,0.0,0.0,29.977,274.668,4.107e-06,-0.075,0.0,0.034,0.051,0.0,29.977,249.093,0.01278,-0.801,0.0,0.0,0.105,0.057,34.572,80.647
2021-01-12,-2.25,76.89985084121385,5.094e-06,-4.696,0.0,0.006,0.04,0.0,31.964,274.62,5.209e-06,0.389,0.0,0.034,0.051,0.0,31.964,248.851,0.01239,-0.714,0.0,0.0,0.116,-0.115,36.469,82.889
2021-01-13,-2.0,74.34743693363218,4.655e-06,-4.377,0.0,0.006,0.04,0.0,34.164,274.573,4.768e-06,0.49,0.0,0.034,0.051,0.0,34.164,249.331,0.01205,-0.648,0.0,0.0,0.128,-0.088,38.656,85.22
2021-01-14,-0.5,71.57265526547438,1.35e-06,-3.902,0.0,0.007,0.04,0.243,35.514,274.407,1.462e-06,0.685,0.0,0.033,0.051,0.241,35.514,249.85,0.01174,-0.582,0.0,0.0,0.143,0.517,40.052,87.761
2021-01-15,-0.95,69.2130385031077,2.798e-06,-3.689,0.635,0.007,0.04,0.0,34.753,275.816,3.622e-07,0.662,0.011,0.034,0.051,0.0,34.753,252.912,0.01149,-0.535,0.011,0.0,0.16,-0.119,40.398,89.917
2021-01-16,0.1,65.54070175709751,4.024e-05,-3.288,2.263,0.007,0.041,0.0,39.434,275.857,3.101e-05,0.792,0.015,0.037,0.054,0.0,39.434,256.27,0.01131,-0.382,1.094,0.0,0.174,-0.135,45.575,95.715
2021-01-17,-3.1,62.82745360229495,3.93e-06,-3.245,0.153,0.007,0.041,0.0,45.926,275.809,3.476e-06,0.503,0.0,0.041,0.054,0.0,45.926,257.399,0.01108,-0.321,0.074,0.0,0.176,0.058,51.413,98.179
2021-01-18,-9.75,61.53832492628097,3.319e-07,-3.927,0.015,0.007,0.041,0.024,46.676,275.76,1.634e-07,-0.148,0.0,0.039,0.051,0.024,46.676,258.079,0.01089,-0.357,0.007,0.0,0.176,0.193,52.221,99.202
2021-01-19,-11.2,60.61173636094489,1.286e-06,-4.735,0.002,0.007,0.04,0.151,46.914,275.686,1.26e-06,-0.371,0.0,0.038,0.051,0.15,46.914,257.67,0.01072,-0.427,0.001,0.0,0.182,0.196,52.558,99.851
2021-01-20,-11.5,59.91729234629449,1.002e-07,-5.505,0.0,0.005,0.0,0.714,47.152,274.975,1.542e-07,-0.441,0.0,0.037,0.051,0.711,47.152,256.217,0.01059,-0.511,0.0,0.0,0.199,0.376,52.676,100.24
2021-01-21,-10.0,59.27926439141775,5.594e-08,-6.156,0.0,0.004,0.0,0.362,47.152,274.613,1.51e-07,-0.322,0.0,0.036,0.051,0.36,47.152,255.009,0.01053,-0.581,0.0,0.0,0.226,0.098,52.529,100.556
2021-01-22,-5.9,57.849847827381204,4.219e-06,-6.151,0.0,0.003,0.0,0.0,48.038,274.613,4.344e-06,0.08,0.0,0.038,0.053,0.0,48.038,254.351,0.01052,-0.578,0.0,0.0,0.255,-0.091,53.398,101.646
2021-01-23,-13.3,57.275398954516255,1.901e-08,-6.789,0.0,0.002,0.0,0.228,48.925,274.511,1.54e-07,-0.542,0.0,0.037,0.051,0.227,48.925,254.25,0.01056,-0.603,0.0,0.0,0.28,0.296,54.309,101.853
2021-01-24,-15.55,57.253115236451066,1.164e-08,-7.548,0.0,0.002,0.0,0.341,48.925,274.172,1.317e-07,-0.842,0.0,0.032,0.047,0.339,48.925,252.937,0.01063,-0.658,0.0,0.0,0.29,0.134,54.326,101.485
2021-01-25,-12.7,57.071873921448194,7.365e-09,-8.104,0.0,0.001,0.0,0.413,48.925,273.759,1.349e-07,-0.638,0.0,0.033,0.051,0.409,48.925,251.063,0.01068,-0.675,0.0,0.0,0.289,0.177,54.27,101.275
2021-01-26,-6.5,55.98513449352097,5.294e-06,-7.947,0.0,0.001,0.0,0.0,50.061,273.759,5.426e-06,-0.034,0.0,0.033,0.051,0.0,50.061,249.937,0.01073,-0.612,0.0,0.0,0.286,-0.076,55.308,101.99
2021-01-27,-4.95,54.375683217129804,3.309e-06,-7.539,0.0,0.001,0.0,0.183,51.947,273.701,3.444e-06,0.202,0.0,0.033,0.051,0.182,51.947,249.707,0.01077,-0.543,0.0,0.0,0.282,0.497,57.055,103.232
2021-01-28,-11.95,53.360035165853844,6.633e-07,-8.037,0.0,0.001,0.0,0.0,52.784,273.701,7.999e-07,-0.376,0.0,0.033,0.051,0.0,52.784,249.902,0.01079,-0.545,0.0,0.0,0.279,-0.01,57.916,103.878
2021-01-29,-17.4,53.21821394420506,1.552e-09,-8.76,0.0,0.0,0.0,0.229,52.872,273.598,1.206e-07,-0.951,0.0,0.029,0.046,0.227,52.872,249.11,0.01081,-0.602,0.0,0.0,0.275,0.135,58.134,103.643
2021-01-30,-17.8,53.448411947695696,1.104e-09,-9.507,0.0,0.0,0.0,0.058,52.872,273.541,1.071e-07,-1.087,0.0,0.026,0.046,0.058,52.872,247.47,0.01082,-0.662,0.0,0.0,0.272,-0.003,58.216,103.039
2021-01-31,-18.35,53.83334932516902,7.944e-10,-10.343,0.0,0.0,0.0,0.172,52.872,273.37,9.718e-08,-1.173,0.0,0.023,0.046,0.17,52.872,245.52,0.01082,-0.716,0.0,0.0,0.27,0.046,58.304,102.282
2021-02-01,-13.35,53.74776377297819,5.777e-10,-10.782,0.0,0.0,0.0,0.368,52.872,273.003,8.981e-08,-0.762,0.0,0.022,0.046,0.363,52.872,243.262,0.01082,-0.709,0.0,0.0,0.267,0.193,58.29,102.0
