hru,area_ha,coupled,reason
1,30.76209,True,eligible
2,7.31708,True,eligible
3,12.85469,True,eligible
4,9.99895,True,eligible
5,22.38106,True,eligible
6,0.0854,True,eligible
7,0.20592,True,eligible
8,6.21029,True,eligible
9,19.43985,True,eligible
10,3.37353,True,eligible
11,11.08215,True,eligible
12,28.98647,True,eligible
13,3.96824,True,eligible
14,6.54718,True,eligible
15,11.55549,True,eligible
16,29.06088,True,eligible
17,0.35015,True,eligible
18,0.3935,True,eligible
19,14.48419,True,eligible
20,18.69547,True,eligible
21,17.18125,True,eligible
22,6.43536,True,eligible
23,20.29818,True,eligible
24,11.63499,True,eligible
25,0.0238,True,eligible
26,0.58004,True,eligible
27,13.95621,True,eligible
28,4.71256,True,eligible
29,6.62475,True,eligible
30,4.59021,True,eligible
31,2.16205,True,eligible
32,12.86317,True,eligible
33,5.54031,True,eligible
34,18.53673,True,eligible
35,4.74812,True,eligible
36,10.40821,True,eligible
37,6.18192,True,eligible
38,8.8838,True,eligible
39,10.17429,True,eligible
40,7.51501,True,eligible
41,0.0641,True,eligible
42,27.21652,True,eligible
43,14.09129,True,eligible
44,0.87106,True,eligible
45,20.47055,True,eligible
46,6.43408,True,eligible
47,10.60462,True,eligible
48,3.00907,True,eligible
49,5.27959,True,eligible
50,19.64144,True,eligible
51,15.48125,True,eligible
52,42.95622,True,eligible
53,17.31617,True,eligible
54,6.40164,True,eligible
55,19.63494,True,eligible
56,5.48761,True,eligible
57,5.69885,True,eligible
58,3.07139,True,eligible
59,8.5607,True,eligible
60,36.51458,True,eligible
61,16.80074,True,eligible
62,7.79073,True,eligible
63,1.74182,False,urban impervious surface
64,3.61875,False,urban impervious surface
65,49.64018,True,eligible
66,41.51942,True,eligible
67,31.46014,True,eligible
68,7.59782,False,urban impervious surface
69,1.23868,False,urban impervious surface
70,1.4586,False,urban impervious surface
71,11.05165,True,eligible
72,11.083,True,eligible
73,8.23461,True,eligible
74,3.1619,True,eligible
75,1.75023,False,urban impervious surface
76,3.77369,True,eligible
77,1.49466,False,urban impervious surface
78,0.0002,False,urban impervious surface
79,15.15808,True,eligible
80,17.19622,True,eligible
81,7.17349,True,eligible
82,0.29432,False,urban impervious surface
83,3.62906,True,eligible
84,4.72421,False,urban impervious surface
85,1.90459,False,urban impervious surface
86,1.48505,True,eligible
87,9.71096,True,eligible
88,0.39433,False,urban impervious surface
89,0.90579,False,urban impervious surface
90,1.24746,True,eligible
91,1.4687,False,urban impervious surface
92,16.44082,True,eligible
93,10.94854,True,eligible
94,15.78884,True,eligible
95,5.84433,True,eligible
96,0.89496,False,urban impervious surface
97,5.07104,True,eligible
98,0.0073,True,eligible
99,0.0292,True,eligible
100,3.67895,True,eligible
101,44.1743,True,eligible
102,15.72027,True,eligible
103,8.46245,True,eligible
104,6.34205,True,eligible
105,24.56897,True,eligible
106,11.18796,True,eligible
107,6.92737,True,eligible
108,2.52107,True,eligible
109,24.45026,True,eligible
110,8.41296,True,eligible
111,2.96181,True,eligible
112,9.01647,True,eligible
113,5.94855,True,eligible
114,36.11976,True,eligible
115,23.09237,True,eligible
116,0.10931,False,urban impervious surface
117,6.67151,True,eligible
118,14.67514,True,eligible
119,1.94821,False,urban impervious surface
120,1.48033,True,eligible
121,11.92561,True,eligible
122,15.89898,True,eligible
123,12.67956,True,eligible
124,12.94098,True,eligible
125,10.62182,True,eligible
126,5.34277,True,eligible
127,9.33613,True,eligible
128,11.7255,True,eligible
129,1.00147,False,urban impervious surface
130,20.16317,True,eligible
131,1.82222,False,urban impervious surface
132,18.9861,True,eligible
133,14.7817,True,eligible
134,23.05367,True,eligible
135,3.59864,True,eligible
136,6.62116,True,eligible
137,11.05335,True,eligible
138,19.24194,True,eligible
139,7.39067,True,eligible
140,21.05983,True,eligible
141,6.08332,True,eligible
142,11.03814,True,eligible
