model,season_year,season,days,complete_season,period_start,period_end,precip_mm,et_mm,surq_gen_mm,latq_mm,perc_mm,snomlt_mm,mean_outlet_m3s,peak_outlet_m3s,peak_date,max_snowpack_mm
official,2021,DJF,59,False,2021-01-01,2021-02-28,103.8,9.263,25.32,0.16,0.721,28.124,5.661245968644068e-06,5.351e-05,2021-02-24,86.665
official,2021,MAM,92,True,2021-03-01,2021-05-31,182.4,111.393,174.061,6.113,4.569,92.73,1.2957401086956521e-05,0.0002054,2021-03-11,81.348
official,2021,JJA,92,True,2021-06-01,2021-08-31,267.7,352.735,3.78,0.96,3.105,0.0,6.457698369565217e-06,5.556e-05,2021-07-18,0.0
official,2021,SON,91,True,2021-09-01,2021-11-30,304.2,65.907,89.995,3.879,3.39,10.889,1.2772450219780218e-05,0.0001652,2021-10-31,6.984
official,2022,DJF,90,True,2021-12-01,2022-02-28,235.1,9.29,203.786,0.329,1.075,114.06099999999999,0.5107760986105289,9.402,2022-02-17,48.391
official,2022,MAM,92,True,2022-03-01,2022-05-31,334.5,108.897,251.696,6.769,4.845,49.503,0.4946571597143478,9.131,2022-03-07,27.956
official,2022,JJA,92,True,2022-06-01,2022-08-31,369.1,384.126,22.588,4.007,4.721,0.0,1.0061465760869565e-05,0.0001001,2022-06-09,0.0
official,2022,SON,91,True,2022-09-01,2022-11-30,323.3,82.936,169.188,6.891,5.336,18.045,0.40322165930219783,9.484,2022-11-12,12.034
official,2023,DJF,90,True,2022-12-01,2023-02-28,314.7,16.115,240.1,1.194,2.821,207.787,0.5063703726148,9.246,2022-12-30,118.262
official,2023,MAM,61,False,2023-03-01,2023-04-30,180.6,39.834,195.787,2.4699999999999998,2.728,108.491,0.5958199155734755,9.118,2023-04-06,86.154
existing_ft,2021,DJF,59,False,2021-01-01,2021-02-28,103.8,9.196,0.499,1.81,2.956,28.124,4.008032033898306e-06,4.444e-05,2021-01-02,86.665
existing_ft,2021,MAM,92,True,2021-03-01,2021-05-31,182.4,114.676,213.888,7.5440000000000005,5.55,92.73,1.4955913043478261e-05,0.0002116,2021-03-11,81.348
existing_ft,2021,JJA,92,True,2021-06-01,2021-08-31,267.7,354.133,3.78,0.932,3.025,0.0,6.457103152173913e-06,5.556e-05,2021-07-18,0.0
existing_ft,2021,SON,91,True,2021-09-01,2021-11-30,304.2,66.235,87.617,3.723,3.285,10.889,1.2756431758241758e-05,0.0001638,2021-10-31,6.984
existing_ft,2022,DJF,90,True,2021-12-01,2022-02-28,235.1,9.246,121.80799999999999,3.49,4.527,114.06099999999999,0.3061971757342222,9.433,2021-12-06,48.391
existing_ft,2022,MAM,92,True,2022-03-01,2022-05-31,334.5,110.604,322.138,9.237,5.954,49.503,0.5984189851369566,9.449,2022-04-07,27.956
existing_ft,2022,JJA,92,True,2022-06-01,2022-08-31,369.1,384.824,22.086,3.979,4.7139999999999995,0.0,0.09933505601891303,9.138,2022-06-09,0.0
existing_ft,2022,SON,91,True,2022-09-01,2022-11-30,323.3,83.174,167.689,7.341,5.4750000000000005,18.045,0.4069969486308791,9.386,2022-09-22,12.034
existing_ft,2023,DJF,90,True,2022-12-01,2023-02-28,314.7,16.141,230.949,8.57,5.707,207.787,0.506859288458889,9.265,2023-02-15,118.262
existing_ft,2023,MAM,61,False,2023-03-01,2023-04-30,180.6,40.819,188.65699999999998,6.559,4.019,108.491,0.4510799873704918,9.328,2023-04-05,86.154
shaw,2021,DJF,59,False,2021-01-01,2021-02-28,103.8,8.132,3.8320000000000003,0.0,14.531,7.58,0.012046779661016948,0.01859,2021-01-01,98.907
shaw,2021,MAM,92,True,2021-03-01,2021-05-31,182.4,182.103,15.243,0.0,147.801,122.29299999999999,0.05841076086956521,0.1105,2021-04-03,107.975
shaw,2021,JJA,92,True,2021-06-01,2021-08-31,267.7,339.632,3.779,0.0,1.716,0.0,0.0,0.0,2021-06-01,0.0
shaw,2021,SON,91,True,2021-09-01,2021-11-30,304.2,118.367,12.145999999999999,0.0,17.53,31.355,0.0002879936945054945,0.006844,2021-11-30,10.068
shaw,2022,DJF,90,True,2021-12-01,2022-02-28,235.1,15.622,64.869,0.0,48.345,130.105,0.01577331111111111,0.02972,2022-02-28,106.795
shaw,2022,MAM,92,True,2022-03-01,2022-05-31,334.5,194.104,16.246,0.0,262.057,187.563,0.3054817652173913,9.187,2022-04-27,104.454
shaw,2022,JJA,92,True,2022-06-01,2022-08-31,369.1,442.80400000000003,5.8,0.0,12.057,0.0,0.002031442391304348,0.007555,2022-06-19,0.0
shaw,2022,SON,91,True,2022-09-01,2022-11-30,323.3,131.97,20.375,0.0,38.805,31.285,0.10667506593406594,9.064,2022-11-24,10.62
shaw,2023,DJF,90,True,2022-12-01,2023-02-28,314.7,28.715,61.246,0.0,96.477,168.096,0.23489000000000002,9.191,2022-12-23,149.739
shaw,2023,MAM,61,False,2023-03-01,2023-04-30,180.6,70.069,9.857000000000001,0.002,248.231,249.692,0.7347072131147542,9.277,2023-04-08,133.168
