date,official_outlet_m3s,official_et_mm,official_surq_gen_mm,official_perc_mm,official_latq_mm,official_snopack_mm,official_soil_layer2_C,existing_ft_outlet_m3s,existing_ft_et_mm,existing_ft_surq_gen_mm,existing_ft_perc_mm,existing_ft_latq_mm,existing_ft_snopack_mm,existing_ft_soil_layer2_C,shaw_outlet_m3s,shaw_et_mm,shaw_surq_gen_mm,shaw_perc_mm,shaw_latq_mm,shaw_snopack_mm,shaw_soil_layer2_C
2021-01-01,8.514e-07,0.144,0.0,0.051,0.008,3.042,-3.969,8.117e-07,0.144,0.0,0.059,0.024,3.042,-1.409,0.02692,0.495,0.0,0.216,0.0,9.534,-1.212
2021-01-02,4.441e-05,0.0,0.0,0.051,0.008,13.18,-3.887,4.443e-05,0.0,0.0,0.066,0.026,13.18,0.003,0.02605,-0.027,0.0,0.205,0.0,19.674,-0.919
2021-01-03,1.615e-06,0.0,0.0,0.051,0.008,23.518,-3.817,1.672e-06,0.0,0.0,0.066,0.028,23.518,-0.003,0.02512,-0.02,0.0,0.195,0.0,30.012,-0.738
2021-01-04,7.135e-07,0.0,0.0,0.05,0.008,24.018,-3.593,8.367e-07,0.0,0.0,0.078,0.04,24.018,0.22,0.02425,-0.048,0.0,0.185,0.0,30.618,-0.62
2021-01-05,7.314e-06,0.0,0.0,0.05,0.008,25.818,-3.522,7.482e-06,0.0,0.0,0.079,0.049,25.818,0.056,0.02342,0.014,0.0,0.177,0.0,32.462,-0.588
2021-01-06,1.139e-06,0.0,0.0,0.05,0.008,27.718,-3.755,1.294e-06,0.0,0.0,0.067,0.045,27.718,-0.188,0.0226,0.05,0.0,0.169,0.0,34.386,-0.573
2021-01-07,1.356e-06,0.045,0.0,0.05,0.008,28.268,-4.022,0.0001302,0.045,0.0,0.067,0.043,28.268,-0.2,0.02182,0.205,0.0,0.162,0.0,35.002,-0.547
2021-01-08,3.287e-08,0.462,0.0,0.05,0.008,28.568,-4.451,0.0002513,0.459,0.0,0.067,0.041,28.568,-0.525,0.02106,0.307,0.0,0.155,0.0,35.344,-0.586
2021-01-09,1.575e-06,0.0,0.0,0.05,0.008,28.854,-4.78,0.0003692,0.0,0.0,0.067,0.039,28.854,-0.364,0.02032,-0.03,0.0,0.149,0.0,35.72,-0.583
2021-01-10,3.179e-08,0.233,0.0,0.049,0.008,29.14,-4.954,0.0004784,0.232,0.0,0.067,0.038,29.14,-0.345,0.01961,0.119,0.0,0.143,0.0,36.121,-0.599
2021-01-11,0.0001011,0.0,0.0,0.049,0.008,29.977,-5.029,0.0005877,0.0,0.0,0.067,0.037,29.977,-0.052,0.01892,0.05,0.0,0.138,0.0,36.98,-0.54
2021-01-12,0.0001945,0.0,0.0,0.05,0.008,31.964,-4.64,0.0007105,0.0,0.0,0.078,0.046,31.964,0.399,0.01826,-0.034,0.0,0.133,0.0,38.849,-0.462
2021-01-13,0.0002818,0.0,0.0,0.05,0.008,34.164,-4.321,0.0008267,0.0,0.0,0.078,0.053,34.164,0.493,0.01762,-0.003,0.0,0.128,0.0,40.977,-0.411
2021-01-14,0.0003619,0.243,0.0,0.05,0.008,35.514,-3.848,0.0009349,0.242,0.0,0.079,0.059,35.514,0.68,0.01699,0.411,0.0,0.123,0.0,42.346,-0.362
2021-01-15,0.000442,0.0,0.485,0.05,0.008,34.753,-3.635,0.001042,0.0,0.011,0.08,0.064,34.753,0.654,0.0164,-0.004,0.011,0.119,0.0,42.692,-0.331
2021-01-16,0.0005559,0.0,2.145,0.051,0.008,39.434,-3.235,0.00118,0.0,0.015,0.081,0.069,39.434,0.78,0.01586,-0.07,1.541,0.116,0.0,47.733,-0.232
2021-01-17,0.0005925,0.0,0.147,0.051,0.008,45.926,-3.193,0.001254,0.0,0.0,0.082,0.073,45.926,0.496,0.01527,0.069,0.527,0.112,0.0,53.218,-0.181
2021-01-18,0.000658,0.024,0.014,0.051,0.008,46.676,-3.873,0.001318,0.024,0.0,0.067,0.063,46.676,-0.138,0.01474,0.139,0.035,0.109,0.0,53.788,-0.216
2021-01-19,0.0007245,0.151,0.002,0.051,0.008,46.914,-4.678,0.001384,0.151,0.0,0.067,0.055,46.914,-0.353,0.01422,0.241,0.004,0.106,0.0,54.128,-0.279
2021-01-20,0.0006881,0.714,0.0,0.0,0.006,47.152,-5.446,0.001443,0.714,0.0,0.066,0.05,47.152,-0.419,0.01373,0.229,0.0,0.103,0.0,54.332,-0.345
2021-01-21,0.0006545,0.362,0.0,0.0,0.004,47.152,-6.094,0.001501,0.361,0.0,0.066,0.046,47.152,-0.302,0.01325,0.047,0.0,0.1,0.0,54.291,-0.389
